商品コード,商品名,仕様,定価
0,フリー,純正,
14,EPSON A3モノクロページプリンター LP-S3250,,
15,アクリルパーテーション 60X60 窓付き　4枚ｾｯﾄ,,
16,EPSON A4ｶﾗｰｲﾝｸｼﾞｪｯﾄ PX-S740,,
2033,XEROXトナーカートリッジ,,
203338,トナーカートリッジ,,
315253,RICOH  PPCｽﾃｰﾌﾟﾗｰ針 ﾀｲﾌﾟN 5000針×2個/箱  315253,純正,3200
319167,RICOH  PPCｽﾃｰﾌﾟﾗｰ ｶｰﾄﾘｯｼﾞ ﾀｲﾌﾟV 5000 319167 3251638,純正,2400
3410SD,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPort Print 3410SD (NL300086),純正,
3ED28A,HP712B ｲﾝｸｶｰﾄﾘｯｼﾞ 3ED28A ﾌﾞﾗｯｸ 38ml,純正,4100
3ED67A,HP712 ｲﾝｸｶｰﾄﾘｯｼﾞ 3ED67A ｼｱﾝ 29ml,純正,3400
3ED68A,HP712 ｲﾝｸｶｰﾄﾘｯｼﾞ 3ED68A ﾏｾﾞﾝﾀ 29ml,純正,3400
3ED69A,HP712 ｲﾝｸｶｰﾄﾘｯｼﾞ 3ED69A ｲｴﾛｰ 29ml,純正,3400
4020SD,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPort Print 4020SD  (NL300085),純正,
51645AA,HP45 ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ 黒  51645AA#003,純正,
527F9A,HP LaserJet ﾄﾅｰｺﾚｸｼｮﾝﾕﾆｯﾄ 527F9A,純正,9145
527G0A,HP LJ ﾌｭｰｻﾞｰｷｯﾄ 527G0A,純正,62682
527G2A,HP LaserJet ｴﾝﾊﾝｽﾌｭｰｻﾞｰｷｯﾄ 527G2A,純正,102609
527G6A,HP LJ ｴﾝﾊﾝｽﾌｭｰｻﾞｰｷｯﾄ 527G6A,純正,70191
527G9A,HP LJ ｲﾒｰｼﾞﾄﾗﾝｽﾌｧｰﾍﾞﾙﾄｷｯﾄ 527G9A,純正,87682
527H2A,HP LJ ﾄﾚｲﾛｰﾗｰｷｯﾄ(ﾄﾚｲ2用) 527H2A,純正,9273
527H3A,HP LJ ﾄﾚｲﾛｰﾗｰｷｯﾄ(ﾄﾚｲ1用) 527H3A,純正,9345
6H122A,HP LaserJet ADFﾒﾝﾃﾅﾝｽｷｯﾄ 6H122A,純正,13064
B432dnw,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ B432dnw,,
B6Y01A,HP  HP771B ｲﾝｸｶｰﾄﾘｯｼﾞ ﾏｾﾞﾝﾀ B6Y01A,純正,41900
B6Y03A,HP  HP771B ｲﾝｸｶｰﾄﾘｯｼﾞ ﾗｲﾄﾏｾﾞﾝﾀ B6Y03A,純正,41900
B6Y04A,HP  HP771B ｲﾝｸｶｰﾄﾘｯｼﾞ ﾗｲﾄｼｱﾝ B6Y04A,純正,41900
B822dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ B822dn,,128000
B842dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ B842dn,,168000
B842dnt,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ B842dnt,,198000
BPTL700,SHARP BPTL700　一次転写ｸﾘｰﾅｰﾌﾞﾚｰﾄﾞ,純正,
C1P70A,ADF ﾛｰﾗｰｷｯﾄ C1P70A,純正,14882
C2410SD,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPort Print C2410SD (NC100608),純正,
C4570,富士ﾌｲﾙﾑ ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ ApeosPrint C4570 (NC100646),純正,442000
C650dnw,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ C650dnw,,178000
C6656AA,-終息- HP56ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ 黒 C6656AA#003,純正,
C7977A,HP　LTO7 Ultrium 15TB RW ﾃﾞｰﾀｶｰﾄﾘｯｼﾞ C7977A,純正,32000
C811dn,OKI COREFIDO C811dn,純正,
C824dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ C824dn,,
C835dnw,OKI ﾚｰｻﾞｰｶﾗｰﾌﾟﾘﾝﾀｰ C835dnw,,178000
C844dnw,OKI ﾚｰｻﾞｰｶﾗｰﾌﾟﾘﾝﾀｰ C844dnw,,248000
C8766HJ,HP135 ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ  ｶﾗｰ C8766HJ,純正,3500
C911dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ C911dn,,498000
C931dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ C931dn,,898000
C9364HJ,-終息-HP　HP129  ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ  黒　C9364HJ,純正,
C941dn,OKI ﾚｰｻﾞｰﾌﾟﾘﾝﾀｰ C941dn,,1398000
C9730A,HP　ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ　C9730A 黒,純正,69736
C9731A,HP　ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ　C9731A　 ｼｱﾝ,純正,97945
C9732A,HP　ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ　C9732A　 ｲｴﾛｰ,純正,97945
C9733A,HP　ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ　C9733A　 ﾏｾﾞﾝﾀ,純正,97945
CAN,※CANON直送のため納期確認中,,
CB316HJ,HP178 ｲﾝｸｶｰﾄﾘｯｼﾞ 黒 CB316HJ,純正,1618
CB318HJ,HP178 ｲﾝｸｶｰﾄﾘｯｼﾞ ｼｱﾝ CB318HJ,純正,1509
CB319HJ,HP178 ｲﾝｸｶｰﾄﾘｯｼﾞ ﾏｾﾞﾝﾀ CB319HJ,純正,1509
CB320HJ,HP178 ｲﾝｸｶｰﾄﾘｯｼﾞ ｲｴﾛｰ CB320HJ,純正,1509
CC640HJ,HP HP121 ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ 黒 CC640HJ,純正,
CC643HJ,HP HP121 ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ 3色ｶﾗｰ CC643HJ,純正,2036
CE248A,ADFﾒﾝﾃﾅﾝｽｷｯﾄ (CM4540) CE248A,純正,16091
CE270A,HP ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ 黒 (CP5525) CE270A,純正,58127
CE271A,HP ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ CE271A ｼｱﾝ (CP5525),純正,87845
CE272A,HP ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ CE272A ｲｴﾛｰ (CP5525),純正,87845
CE273A,HP ﾌﾟﾘﾝﾄｶｰﾄﾘｯｼﾞ CE273A ﾏｾﾞﾝﾀ (CP5525),純正,87845
CE340A,HP 651A 黒 ﾄﾅｰｶｰﾄﾘｯｼﾞ CE340A,純正,40473
CE341A,HP 651A ｼｱﾝ ﾄﾅｰｶｰﾄﾘｯｼﾞ CE341A,純正,101991
CE342A,HP 651A ｲｴﾛｰ ﾄﾅｰｶｰﾄﾘｯｼﾞ CE342A,純正,101991
CE343A,HP 651A ﾏｾﾞﾝﾀ ﾄﾅｰｶｰﾄﾘｯｼﾞ CE343A,純正,101991
CE390X,HP　HP　90X ﾄﾅｰｶｰﾄﾘｯｼﾞ 黒 大容量　CE390X,純正,63491
CF214A,HP 14A ﾄﾅｰｶｰﾄﾘｯｼﾞ 黒 CF214A,純正,47636
CF214X,HP 14X ﾄﾅｰｶｰﾄﾘｯｼﾞ 黒 大容量 CF214X,純正,51018
CF237Y,HP37 Y 黒(大容量) CF237Y トナー,純正,84400
CF287X,HP　HP 87X ﾄﾅｰｶｰﾄﾘｯｼﾞ 黒(大容量)　CF287X,純正,66364
CH562WA,HP61 ｲﾝｸｶｰﾄﾘｯｼﾞ　CH562WA ｶﾗｰ,純正,
CH563WA,HP HP61XL CH563WA ｲﾝｸｶｰﾄﾘｯｼﾞ 黒(増量),純正,
CH564WA,HP HP61XL CH564WA ｲﾝｸｶｰﾄﾘｯｼﾞ ｶﾗｰ(増量),純正,
CIB07CB,#NAME?,互換,
CIB07CL4B,-使用不可-互換 ｲﾝｸｶｰﾄﾘｯｼﾞ IB07CL4B 4色ｾｯﾄ,互換,
CIB07KB,#NAME?,互換,
CIB07MB,#NAME?,互換,
CIB07YB,#NAME?,互換,
CN045AA,HP 950XL ｲﾝｸｶｰﾄﾘｯｼﾞ　CN045AA 　黒 (増量),純正,
CN046AA,HP 951XL ｲﾝｸｶｰﾄﾘｯｼﾞ　CN046AA ｼｱﾝ,純正,
CN047AA,HP 951XL ｲﾝｸｶｰﾄﾘｯｼﾞ　CN047AA ﾏｾﾞﾝﾀ,純正,
CN048AA,HP 951XL ｲﾝｸｶｰﾄﾘｯｼﾞ　CN048AA ｲｴﾛｰ,純正,
CN057AA,HP932 ｲﾝｸｶｰﾄﾘｯｼﾞ 黒 CN057AA,純正,3036
CN684HJ,HP178XL ｲﾝｸｶｰﾄﾘｯｼﾞ 黒 ｽﾘﾑ増量 CN684HJ,純正,2773
CR281AA,HP178 ｲﾝｸｶｰﾄﾘｯｼﾞ 4色ﾏﾙﾁﾊﾟｯｸ CR281AA,純正,
D,※現在、出荷元の倉庫が逼迫しているため、回答納期より遅れが生じる可能性がございます。予めご容赦ください。,,
DR225W2,CANON  ﾄﾞｷｭﾒﾝﾄｽｷｬﾅｰ DR-C225WⅡ　3259C001,,
DR290CL,brother ﾄﾞﾗﾑﾕﾆｯﾄ DR-290CL,純正,9450
DR290CLBK,brother ﾄﾞﾗﾑﾕﾆｯﾄ DR-290CL-BK,純正,3890
DR290CLCMY,brother ﾄﾞﾗﾑﾕﾆｯﾄ DR-290CL-CMY,純正,3890
EMPTY,使用済みカートリッジ買取,,
END,※送り状に「様分」と記載をお願いします。,,
EW-M530F,EPSON ｲﾝｸｼﾞｪｯﾄ 複合機 EW-M530F,,
