商品コード,商品名,メーカー,定価,設定モード,納期区分,ランク1,ランク2,ランク3,ランク4,ランク5
J6100S-D,ﾄﾅｰ 6100S,RICOH,OPEN,手動,,"26,500","30,000","30,000","30,000",30857
J6100SRE-D,ﾄﾅｰ 6100S RE,RICOH,OPEN,手動,,"23,000","28,000","28,000","28,000",28800
J4200S-D,ﾄﾅｰ 4200S,RICOH,OPEN,手動,,"21,000","29,800","29,800","29,800",30651
J6400S-D,ﾄﾅｰ 6400S(2本入り),RICOH,OPEN,手動,,"28,000","31,000","31,000","31,000",31886
J4500S-D,ﾄﾅｰ 4500S(2本入り),RICOH,OPEN,手動,,"29,000","32,000","32,000","32,000",32914
JP6500S-D,ﾄﾅｰ P6500S(2本入り),RICOH,OPEN,手動,,"30,500","30,500","30,500","30,500",31371
J6100H-D, SP ﾄﾅ-　6100H　515317,RICOH,73000,手動,,"45,917","45,917","45,917","45,917",47229
JSP8400-D, SP ﾄﾅ-　8400　600652,RICOH,67400,手動,,"43,069","43,069","43,069","43,069",44299
JC710K-D, SP ﾄﾅ- C710 BK　515292,RICOH,16300,手動,,"10,253","10,253","10,253","10,253",10546
JC710C-D, SP ﾄﾅ- C710 C　515289,RICOH,16300,手動,,"10,253","10,253","10,253","10,253",10546
JC710M-D, SP ﾄﾅ- C710 M　515290,RICOH,16300,手動,,"10,253","10,253","10,253","10,253",10546
JC710Y-D, SP ﾄﾅ- C710 Y　515291,RICOH,16300,手動,,"10,253","10,253","10,253","10,253",10546
JC820BK-D, SP ﾄﾅ- C820 BK　515586,RICOH,29200,手動,,"17,637","17,637","17,637","17,637",18141
JC820C-D, SP ﾄﾅ- C820 C　515589,RICOH,28600,手動,,"17,274","17,274","17,274","17,274",17768
JC820M-D, SP ﾄﾅ- C820 M　515588,RICOH,28600,手動,,"17,274","17,274","17,274","17,274",17768
JC820Y-D, SP ﾄﾅ- C820 Y　515587,RICOH,28600,手動,,"17,274","17,274","17,274","17,274",17768
JC820HBK-D, SP ﾄﾅ- C820H BK　515582,RICOH,47500,手動,,"28,690","28,690","28,690","28,690",29510
